StationID,PeakValue
5388250,4540
5388250,5530
5388250,22000
5388250,4200
5388250,3460
5388250,5020
5388250,4580
5388250,12600
5388250,6050
5388250,13300
5388250,11100
5388250,2260
5388250,1780
5388250,9320
5388250,8340
5388250,3180
5388250,8980
5388250,31200
5388250,4740
5388250,6640
5388250,7180
5388250,1940
5388250,25500
5388250,7630
5388250,14000
5388250,38000
5388250,7880
5388250,15600
5388250,18100
5452000,7350
5452000,14700
5452000,36600
5452000,5060
5452000,1750
5452000,5660
5452000,3100
5452000,2650
5452000,1650
5452000,3780
5452000,1950
5452000,891
5452000,1770
5452000,4170
5452000,1680
5452000,495
5452000,1880
5452000,22400
5452000,11400
5452000,6860
5452000,1520
5452000,1030
5452000,9480
5452000,9430
5452000,2520
5452000,2790
5452000,2920
5452000,14800
5452000,10300
5452000,23000
5452200,7900
5452200,3800
5452200,5770
5452200,1430
5452200,1610
5452200,5990
5452200,2300
5452200,1610
5452200,1720
5452200,1510
5452200,4170
5452200,1240
5452200,1160
5452200,7180
5452200,3270
5452200,1180
5452200,3380
5452200,4930
5452200,4460
5452200,4070
5452200,1110
5452200,146
5452200,5010
5452200,8580
5452200,4090
5452200,4230
5452200,1170
5452200,5020
5452200,5800
5452200,2640
5454500,13700
5454500,8080
5454500,28200
5454500,9440
5454500,9530
5454500,6900
5454500,10500
5454500,9960
5454500,7760
5454500,6890
5454500,11100
5454500,4650
5454500,6310
5454500,7550
5454500,6310
5454500,5030
5454500,10100
5454500,41100
5454500,11000
5454500,11400
5454500,8500
5454500,3540
5454500,19900
5454500,19900
5454500,8930
5454500,10900
5454500,7880
5454500,11000
5454500,16100
5454500,10600
5455500,3950
5455500,7010
5455500,36100
5455500,3870
5455500,5650
5455500,25100
5455500,8680
5455500,5170
5455500,7270
5455500,4640
5455500,6280
5455500,4610
5455500,3470
5455500,4840
5455500,3050
5455500,971
5455500,8320
5455500,9220
5455500,13700
5455500,12400
5455500,8840
5455500,4740
5455500,27200
5455500,22400
5455500,10100
5455500,11700
5455500,4360
5455500,11000
5455500,15100
5455500,6590
5458000,2840
5458000,2220
5458000,14000
5458000,2180
5458000,1080
5458000,786
5458000,2800
5458000,4270
5458000,12200
5458000,5040
5458000,8650
5458000,479
5458000,1220
5458000,7840
5458000,1740
5458000,1870
5458000,3700
5458000,24700
5458000,1750
5458000,5820
5458000,3690
5458000,1220
5458000,16100
5458000,3730
5458000,3740
5458000,9160
5458000,6280
5458000,6000
5458000,6050
5458000,2690
5458900,11900
5458900,3380
5458900,17600
5458900,7500
5458900,2300
5458900,1590
5458900,5590
5458900,6250
5458900,15200
5458900,4590
5458900,5800
5458900,2010
5458900,3400
5458900,12000
5458900,9220
5458900,2970
5458900,8840
5458900,25900
5458900,5550
5458900,8550
5458900,5030
5458900,1270
5458900,10000
5458900,9720
5458900,2820
5458900,12100
5458900,5020
5458900,11200
5458900,11000
5458900,7170
5464000,48200
5464000,20900
5464000,68100
5464000,17200
5464000,11600
5464000,9100
5464000,23300
5464000,23300
5464000,69300
5464000,24900
5464000,45800
5464000,7820
5464000,16200
5464000,58500
5464000,23700
5464000,18100
5464000,24200
5464000,112000
5464000,17700
5464000,49900
5464000,33700
5464000,10700
5464000,57300
5464000,56200
5464000,20700
5464000,83700
5464000,23400
5464000,59500
5464000,58700
5464000,36000
5464500,46100
5464500,32100
5464500,71000
5464500,22500
5464500,16400
5464500,13700
5464500,24100
5464500,28400
5464500,62300
5464500,27700
5464500,42000
5464500,13000
5464500,19700
5464500,62500
5464500,26200
5464500,17000
5464500,28800
5464500,140000
5464500,33900
5464500,50300
5464500,31700
5464500,9950
5464500,63700
5464500,56200
5464500,26700
5464500,81600
5464500,25700
5464500,61900
5464500,61800
5464500,48100
5465000,46800
5465000,22600
5465000,74000
5465000,20700
5465000,23400
5465000,32800
5465000,35200
5465000,33400
5465000,60900
5465000,29000
5465000,38500
5465000,24200
5465000,21900
5465000,70200
5465000,24200
5465000,17900
5465000,29500
5465000,127000
5465000,41600
5465000,51100
5465000,27500
5465000,10700
5465000,61300
5465000,77700
5465000,23900
5465000,81000
5465000,68900
5465000,56300
5465000,63100
5465000,50100
5470500,3000
5470500,1910
5470500,24300
5470500,2920
5470500,2300
5470500,12700
5470500,3580
5470500,5290
5470500,3160
5470500,614
5470500,1160
5470500,1620
5470500,3200
5470500,2380
5470500,1570
5470500,2140
5470500,5570
5470500,12600
5470500,2860
5470500,22400
5470500,1220
5470500,453
5470500,4280
5470500,5740
5470500,5490
5470500,5510
5470500,1390
5470500,7120
5470500,5590
5470500,1940
5479000,12500
5479000,5330
5479000,16200
5479000,5900
5479000,4000
5479000,2430
5479000,4020
5479000,4050
5479000,6210
5479000,4980
5479000,8160
5479000,1330
5479000,4490
5479000,6790
5479000,6690
5479000,4060
5479000,6070
5479000,10400
5479000,2380
5479000,13400
5479000,5970
5479000,1440
5479000,8330
5479000,10700
5479000,3010
5479000,6280
5479000,4150
5479000,11200
5479000,11700
5479000,4080
5481000,13500
5481000,4070
5481000,13100
5481000,4380
5481000,4300
5481000,2560
5481000,6890
5481000,8270
5481000,9070
5481000,4340
5481000,8290
5481000,2890
5481000,8020
5481000,13400
5481000,9520
5481000,3380
5481000,7090
5481000,20500
5481000,3720
5481000,20700
5481000,3850
5481000,2360
5481000,12800
5481000,10100
5481000,3560
5481000,13400
5481000,4060
5481000,14000
5481000,9090
5481000,6090
5481300,33800
5481300,16300
5481300,42300
5481300,21700
5481300,15100
5481300,13300
5481300,15000
5481300,18700
5481300,23100
5481300,12100
5481300,33200
5481300,7900
5481300,21200
5481300,28600
5481300,30900
5481300,17000
5481300,35800
5481300,50300
5481300,8700
5481300,58300
5481300,21600
5481300,5850
5481300,30900
5481300,36800
5481300,22100
5481300,26100
5481300,16500
5481300,38400
5481300,38200
5481300,18900
5484800,2890
5484800,1450
5484800,6460
5484800,792
5484800,1450
5484800,3850
5484800,3930
5484800,4910
5484800,3140
