StationID,PeakValue
6814000,4420
6814000,19600
6814000,15800
6814000,2060
6814000,14000
6814000,4010
6814000,6220
6814000,16200
6814000,10900
6814000,4520
6814000,9400
6814000,2550
6814000,3680
6814000,5330
6814000,4010
6814000,2310
6814000,11500
6814000,11900
6814000,9180
6814000,9690
6814000,1230
6814000,1210
6814000,7430
6814000,3190
6814000,11900
6814000,6630
6814000,4120
6814000,3430
6814000,10400
6814000,10800
6845000,1850
6845000,23
6845000,284
6845000,272
6845000,7.3
6845000,169
6845000,12
6845000,164
6845000,50
6845000,39
6845000,33
6845000,9
6846000,1130
6846000,121
6846000,379
6846000,190
6846000,17
6846000,237
6846000,1060
6846000,14
6846000,182
6846000,140
6846000,512
6846000,124
6846000,10
6846000,35
6846500,497
6846500,588
6846500,427
6846500,131
6846500,563
6846500,42
6846500,181
6846500,150
6846500,5
6846500,127
6846500,52
6846500,150
6846500,100
6846500,159
6846500,817
6846500,248
6846500,357
6846500,41
6846500,23
6846500,47
6846500,68.8
6846500,92.9
6846500,516
6846500,3.53
6848500,44
6848500,1170
6848500,1060
6848500,634
6848500,1450
6848500,2360
6848500,1140
6848500,593
6848500,339
6848500,680
6848500,1810
6848500,19
6848500,25
6848500,39
6848500,1380
6848500,14
6848500,476
6848500,477
6848500,723
6848500,1250
6848500,406
6848500,1290
6848500,263
6848500,136
6848500,204
6848500,680
6848500,190
6848500,414
6848500,3450
6848500,771
6853800,458
6853800,1380
6853800,4990
6853800,656
6853800,836
6853800,851
6853800,4640
6853800,1480
6853800,541
6853800,26
6853800,1790
6853800,167
6853800,101
6853800,683
6853800,855
6853800,387
6853800,502
6853800,2620
6853800,2520
6853800,1860
6853800,6660
6853800,308
6853800,194
6853800,936
6853800,7400
6853800,457
6853800,1410
6853800,2270
6853800,2040
6853800,2180
6854000,143
6854000,718
6854000,4780
6854000,465
6854000,318
6854000,3.5
6854000,559
6854000,540
6854000,8.2
6854000,8.9
6854000,163
6854000,3.3
6856000,3670
6856000,6680
6856000,37700
6856000,3330
6856000,8000
6856000,3450
6856000,10300
6856000,5600
6856000,6710
6856000,3430
6856000,5880
6856000,1990
6856000,19700
6856000,3400
6856000,2610
6856000,2430
6856000,3260
6856000,5990
6856000,8720
6856000,13700
6856000,9500
6856000,4430
6856000,7890
6856000,1960
6856000,12600
6856000,6080
6856000,13100
6856000,9360
6856000,11800
6856000,11800
6857100,8550
6857100,33700
6857100,5380
6857100,10200
6857100,3020
6857100,10200
6857100,18700
6857100,5410
6857100,3240
6857100,4210
6857100,2540
6857100,1090
6857100,3950
6857100,2580
6857100,1600
6857100,4120
6857100,6340
6857100,3790
6857100,8820
6857100,10200
6857100,5740
6857100,5670
6857100,1700
6857100,7720
6857100,8230
6857100,7520
6857100,4010
6857100,12400
6857100,8020
6860000,579
6860000,3720
6860000,4080
6860000,298
6860000,950
6860000,4260
6860000,697
6860000,4010
6860000,638
6860000,42
6860000,2390
6860000,22
6860000,43
6860000,212
6860000,18
6860000,341
6860000,2180
6860000,236
6860000,273
6860000,4090
6860000,77
6860000,1950
6860000,2350
6860000,10400
6860000,30
6860000,233
6860000,114
6860000,238
6860000,4780
6860000,61.6
6861000,207
6861000,1010
6861000,4890
6861000,218
6861000,1250
6861000,4800
6861000,201
6861000,3200
6861000,270
6861000,713
6861000,3470
6861000,200
6861000,216
6861000,625
6861000,122
6861000,591
6861000,5200
6861000,189
6861000,599
6861000,2970
6861000,364
6861000,4510
6861000,148
6861000,3110
6861000,366
6861000,155
6861000,162
6861000,3710
6861000,825
6861000,101
6862700,3
6862700,1120
6862700,20200
6862700,27
6862700,2180
6862700,9730
6862700,2280
6862700,2780
6862700,5070
6862700,621
6862700,2100
6862700,34
6862700,2500
6862700,88
6862700,54
6862700,58
6862700,4710
6862700,1300
6862700,112
6862700,2910
6862700,6.5
6862700,3.6
6862700,121
6862700,2350
6862700,114
6862700,2590
6862700,149
6862700,2390
6862700,4120
6862700,669
6863500,316
6863500,534
6863500,5520
6863500,124
6863500,3170
6863500,907
6863500,2360
6863500,1810
6863500,1780
6863500,237
6863500,1150
6863500,265
6863500,1850
6863500,1010
6863500,287
6863500,138
6863500,745
6863500,928
6863500,440
6863500,1210
6863500,219
6863500,157
6863500,877
6863500,987
6863500,240
6863500,2380
6863500,1360
6863500,2550
6863500,2480
6863500,456
6864050,9570
6864050,5250
6864050,32400
6864050,633
6864050,8650
6864050,3360
6864050,5890
6864050,7280
6864050,7780
6864050,1960
6864050,6770
6864050,698
6864050,4570
6864050,3900
6864050,739
6864050,1050
6864050,6430
6864050,5820
6864050,4670
6864050,2690
6864050,6750
6865500,659
6865500,1780
6865500,6730
6865500,2210
6865500,4030
6865500,3060
6865500,1460
6865500,1750
6865500,2000
6865500,816
6865500,2530
6865500,638
6865500,194
6865500,253
6865500,99
6865500,221
6865500,4830
6865500,2200
6865500,1930
6865500,2040
6865500,756
6865500,267
6865500,1300
6865500,1260
6865500,4090
6865500,1960
6865500,1810
6865500,1200
6865500,3910
6865500,2300
6866500,1040
6866500,4110
6866500,13100
6866500,2590
6866500,9380
6866500,7230
6866500,3570
6866500,3290
6866500,9030
6866500,7830
6866500,3590
6866500,1310
6866500,2270
6866500,3440
6866500,2070
6866500,169
6866500,4700
6866500,1980
6866500,5380
6866500,2190
6866500,646
6866500,301
6866500,5590
6866500,3060
6866500,3690
6866500,3970
6866500,1850
6866500,1580
6866500,6740
6866500,2140
6867000,475
6867000,1200
6867000,41500
6867000,1900
6867000,20100
6867000,851
6867000,3400
6867000,3700
6867000,2280
6867000,554
6867000,3250
6867000,64
6867000,1340
6867000,4420
6867000,272
6867000,34
6867000,1260
6867000,4190
6867000,1660
6867000,759
6867000,518
6867000,924
6867000,249
6867000,455
6867000,154
6867000,3570
6867000,1920
6867000,10300
6867000,5780
6867000,357
6871000,83
6871000,2340
6871000,2520
6871000,491
6871000,8340
6871000,2380
6871000,1730
6871000,251
6871000,752
6871000,121
6871000,276
6871000,28
6871000,21
6871000,384
6871000,153
6871000,723
6871000,3240
6871000,4350
6871000,2600
6871000,614
6871000,847
6871000,61
6871000,1650
6871000,252
6871000,11000
6871000,189
6871000,4580
6871000,2850
6871000,408
6872500,866
6872500,3120
6872500,9180
6872500,2080
6872500,8730
6872500,1900
6872500,5800
6872500,5990
6872500,2170
6872500,399
6872500,4930
6872500,653
6872500,729
6872500,262
6872500,1320
6872500,815
6872500,1670
6872500,23800
6872500,6990
6872500,9760
6872500,8500
6872500,284
6872500,143
6872500,1210
6872500,3410
6872500,893
6872500,2080
6872500,3790
6872500,3980
6872500,1930
6873200,154
6873200,53
6873200,520
6873200,891
6873200,163
6873200,182
6873200,215
6873200,187
6873200,202
6873200,207
6873200,212
6874000,166
6874000,1560
6874000,59100
6874000,827
6874000,7770
6874000,1130
6874000,4500
6874000,947
6874000,1170
6874000,109
6874000,2370
6874000,155
6874000,420
6874000,430
6874000,421
6874000,14
6874000,1870
6874000,6640
6874000,4000
6874000,3960
6874000,5600
6874000,96
6874000,388
6874000,1570
6874000,397
6874000,2470
6874000,2050
6874000,926
6874000,9600
6874000,3380
6876700,1030
6876700,1200
6876700,9170
6876700,1620
6876700,4810
6876700,2980
6876700,621
6876700,1140
6876700,4270
6876700,741
6876700,922
6876700,63
6876700,2060
6876700,906
6876700,1010
6876700,99
6876700,1330
6876700,906
6876700,1270
6876700,1400
6876700,3600
6876700,397
6876700,890
6876700,395
6876700,617
6876700,1770
6876700,2860
6876700,1300
6876700,2830
6876700,1130
6879100,7400
6879100,23900
6879100,87600
6879100,14300
6879100,31300
6879100,22000
6879100,15000
6879100,19300
6879100,33100
6879100,13200
6879100,12200
6879100,2790
6879100,7430
6879100,9070
6879100,29200
6879100,2910
6879100,28200
6879100,10800
6879100,14700
6879100,16200
6879100,26400
6879100,7710
6879100,22300
6879100,12500
6879100,10100
6879100,22100
6879100,19300
6879100,8610
