Station_ID,Peak_Flow
5474500,128000
5474500,148000
5474500,157000
5474500,160000
5474500,181000
5474500,183000
5474500,187000
5474500,190000
5474500,196000
5474500,199000
5474500,208000
5474500,209000
5474500,209000
5474500,210000
5474500,227000
5474500,229000
5474500,233000
5474500,236000
5474500,238000
5474500,238000
5474500,251000
5474500,253000
5474500,262000
5474500,276000
5474500,330000
5474500,345000
5474500,382000
5474500,438000
5474500,446000
5474500,535000
5495000,2990
5495000,3450
5495000,4700
5495000,4840
5495000,5290
5495000,5990
5495000,6230
5495000,6410
5495000,6800
5495000,7090
5495000,7270
5495000,7550
5495000,7610
5495000,7980
5495000,8070
5495000,8350
5495000,9320
5495000,9800
5495000,10900
5495000,10900
5495000,11200
5495000,11300
5495000,11900
5495000,11900
5495000,12400
5495000,13800
5495000,14300
5495000,15800
5495000,18600
5495000,26200
5495500,3150
5495500,3360
5495500,3500
5495500,5290
5495500,7250
5495500,7370
5495500,7650
5495500,8030
5495500,8290
5495500,8470
5495500,8830
5495500,8990
5495500,9630
5495500,9980
5495500,10300
5495500,11500
5495500,12100
5495500,12700
5495500,13400
5495500,14400
5495500,14900
5495500,14900
5495500,16600
5495500,16700
5495500,17700
5495500,18300
5495500,23700
5495500,26600
5495500,35500
5495500,35900
5496000,2080
5496000,3680
5496000,3840
5496000,3940
5496000,4090
5496000,4270
5496000,4430
5496000,5300
5496000,5370
5496000,5440
5496000,5480
5496000,5560
5496000,5580
5496000,5660
5496000,6460
5496000,7260
5496000,7530
5496000,8270
5496000,8300
5496000,8440
5496000,8860
5496000,9810
5496000,10400
5496000,10700
5496000,11300
5496000,11600
5496000,12200
5496000,12900
5496000,13700
5496000,14100
5497000,3390
5497000,4110
5497000,4600
5497000,6160
5497000,6750
5497000,7470
5497000,7480
5497000,7720
5497000,8930
5497000,10200
5497000,11700
5497000,12100
5497000,13600
5497000,17200
5497000,17400
5498000,2480
5498000,3660
5498000,3940
5498000,4390
5498000,4970
5498000,5120
5498000,5590
5498000,5880
5498000,6500
5498000,6680
5498000,7150
5498000,9370
5498000,12900
5498000,13800
5498000,17600
5500000,3540
5500000,3760
5500000,4140
5500000,4700
5500000,6840
5500000,6860
5500000,7090
5500000,7340
5500000,7420
5500000,7460
5500000,7910
5500000,8030
5500000,8410
5500000,8620
5500000,8990
5500000,9500
5500000,10100
5500000,10900
5500000,11100
5500000,11200
5500000,11200
5500000,12200
5500000,12300
5500000,12700
5500000,13500
5500000,15100
5500000,15600
5500000,17600
5500000,17700
5500000,23200
5501000,2290
5501000,3540
5501000,3610
5501000,4490
5501000,5490
5501000,7130
5501000,7820
5501000,9510
5501000,9580
5501000,10000
5501000,11200
5501000,11200
5501000,11900
5501000,12000
5501000,12700
5501000,14600
5501000,14800
5501000,16700
5501000,17400
5501000,18000
5501000,18500
5501000,18700
5501000,19400
5501000,22700
5501000,23000
5501000,23700
5501000,24500
5501000,27500
5501000,28600
5501000,38500
5502000,228
5502000,238
5502000,396
5502000,414
5502000,432
5502000,453
5502000,453
5502000,516
5502000,516
5502000,572
5502000,602
5502000,719
5502000,792
5502000,830
5502000,851
5502000,969
5502000,1150
5502000,1170
5502000,1170
5502000,1200
5502000,1350
5502000,1390
5502000,1390
5502000,1600
5502000,1840
5502000,1850
5502000,1850
5502000,1850
5502000,1910
5502000,2080
5502020,500
5502020,2010
5502020,2720
5502020,2850
5502020,2860
5502020,2870
5502020,2880
5502020,2930
5502020,2950
5502020,3270
5502020,3450
5502020,3770
5502020,3800
5502020,3820
5502020,4230
5502020,4320
5502020,4410
5502020,4440
5502020,4600
5502020,5000
5502020,5540
5502020,5860
5502020,6710
5502020,7430
5502020,7500
5502020,7570
5502020,7870
5502300,2310
5502300,2550
5502300,3120
5502300,5520
5502300,6220
5502300,6340
5502300,6470
5502300,6620
5502300,6720
5502300,7520
5502300,8420
5502300,9250
5502300,9500
5502300,9870
5502300,11300
5502300,12000
5502300,13200
5502300,13400
5502300,13800
5502300,14700
5502300,14900
5502300,16500
5502300,16900
5502300,17500
5502300,19000
5502300,28300
5502300,29000
5502300,29300
5502300,31800
5502300,36500
5502500,2560
5502500,3270
5502500,3740
5502500,4170
5502500,5190
5502500,5430
5502500,5750
5502500,6020
5502500,6650
5502500,6870
5502500,7830
5502500,8110
5502500,8260
5502500,8500
5502500,8930
5502500,9900
5502500,10300
5502500,11000
5502500,11700
5502500,12100
5502500,12200
5502500,12400
5502500,16000
5502500,17400
5502500,18500
5502500,19700
5502500,24600
5502500,24600
5502500,28000
5502500,29100
5503800,697
5503800,866
5503800,912
5503800,1820
5503800,1980
5503800,2060
5503800,2220
5503800,2270
5503800,2530
5503800,2560
5503800,2640
5503800,2740
5503800,2780
5503800,2850
5503800,3010
5503800,3040
5503800,3210
5503800,3850
5503800,4090
5503800,4180
5503800,4260
5503800,4490
5503800,4500
5503800,4500
5503800,4550
5503800,5450
5503800,6810
5503800,8100
5503800,9090
5503800,9460
5506800,2350
5506800,3330
5506800,4510
5506800,4730
5506800,5040
5506800,5290
5506800,5380
5506800,5600
5506800,5690
5506800,5790
5506800,5930
5506800,6050
5506800,6820
5506800,7480
5506800,7520
5506800,8130
5506800,8230
5506800,8580
5506800,9520
5506800,9750
5506800,9880
5506800,10000
5506800,10500
5506800,11900
5506800,12000
5506800,12900
5506800,13900
5506800,15100
5506800,17500
5506800,24300
5507600,1900
5507600,2870
5507600,2900
5507600,3630
5507600,4090
5507600,4230
5507600,5010
5507600,5080
5507600,5080
5507600,5310
5507600,5710
5507600,5800
5507600,5960
5507600,6210
5507600,6290
5507600,6320
5507600,6800
5507600,7100
5507600,7110
5507600,7200
5507600,7310
5507600,8740
5507600,8910
5507600,9010
5507600,9310
5507600,9670
5507600,10200
5507600,10900
5507600,11800
5507600,15200
5507800,7990
5507800,8230
5507800,8910
5507800,8960
5507800,9240
5507800,9450
5507800,9530
5507800,9570
5507800,9710
5507800,9790
5507800,9910
5507800,9970
5507800,10000
5507800,10400
5507800,10400
5507800,10800
5507800,11000
5507800,11100
5507800,11700
5507800,11700
5507800,11800
5507800,12000
5507800,12200
5507800,12600
5507800,12800
5507800,13600
5507800,13800
5507800,14400
5507800,16100
5507800,52800
5508000,6200
5508000,8440
5508000,8440
5508000,8560
5508000,8570
5508000,9600
5508000,9870
5508000,10200
5508000,11200
5508000,11600
5508000,11900
5508000,12000
5508000,12200
5508000,12800
5508000,13300
5508000,13500
5508000,13500
5508000,14500
5508000,14900
5508000,15600
5508000,15800
5508000,16000
5508000,16600
5508000,17200
5508000,17700
5508000,17900
5508000,18500
5508000,18800
5508000,26600
5508000,55500
5508805,2290
5508805,4670
5508805,4930
5508805,5700
5508805,6850
5508805,7790
5508805,8290
5508805,9220
5508805,9860
5508805,10100
5508805,10200
5508805,10500
5508805,10600
5508805,10800
5508805,11000
5508805,11000
5508805,11300
5508805,11900
5508805,12000
5508805,12000
5508805,12300
5508805,12600
5508805,13100
5508805,15200
5508805,16100
5508805,16400
5508805,16900
5508805,20300
5508805,20700
5508805,21700
5512500,908
5512500,1120
5512500,1330
5512500,1430
5512500,1640
5512500,1930
5512500,2340
5512500,2440
5512500,2440
5512500,2630
5512500,2820
5512500,3130
5512500,3390
5512500,3440
5512500,3740
5512500,4220
5512500,4490
5512500,4540
5512500,4800
5512500,5270
5512500,5770
5512500,6400
5512500,6420
5512500,7510
5512500,8180
5512500,8860
5512500,9290
5512500,12700
5512500,12900
5512500,13700
5514500,8150
5514500,12400
5514500,12900
5514500,13000
5514500,15300
5514500,19000
5514500,19800
5514500,20700
5514500,21300
5514500,22700
5514500,23600
5514500,25400
5514500,28300
5514500,28400
5514500,28800
5514500,33900
5514500,35200
5514500,40600
5514500,41900
5514500,42000
5514500,42300
5514500,42500
5514500,43200
5514500,52000
5514500,54100
5514500,65800
5514500,67900
5514500,71200
5514500,101000
5514500,107000
5570000,3450
5570000,5750
5570000,6470
5570000,7210
5570000,8650
5570000,8760
5570000,9620
5570000,10600
5570000,10900
5570000,11100
5570000,11400
5570000,11400
5570000,11700
5570000,11800
5570000,12600
5570000,12700
5570000,13300
5570000,13400
5570000,14900
5570000,16500
5570000,16900
5570000,17800
5570000,18000
5570000,21500
5570000,23800
5570000,24300
5570000,24800
5570000,29000
5570000,34700
5570000,42500
5584500,2270
5584500,3740
5584500,4090
5584500,4370
5584500,4900
5584500,5240
5584500,5300
5584500,5500
5584500,5680
5584500,6190
5584500,6300
5584500,6360
5584500,6450
5584500,7620
5584500,7670
5584500,8370
5584500,8830
5584500,9730
5584500,10000
5584500,11100
5584500,11400
5584500,13100
5584500,15500
5584500,17200
5584500,17400
5584500,18400
5584500,19800
5584500,20700
5584500,24000
5584500,33700
5586100,35600
5586100,36600
5586100,38400
5586100,41800
5586100,43800
5586100,51700
5586100,62400
5586100,67400
5586100,69900
5586100,73200
5586100,74600
5586100,74800
5586100,76000
5586100,77400
5586100,83800
5586100,84900
5586100,88400
5586100,92200
5586100,92200
5586100,92400
5586100,93500
5586100,101000
5586100,105000
5586100,106000
5586100,109000
5586100,113000
5586100,116000
5586100,1e+05
5587000,2980
5587000,3150
5587000,4040
5587000,7400
5587000,7440
5587000,7470
5587000,7580
5587000,8270
5587000,8700
5587000,8910
5587000,9130
5587000,9750
5587000,9910
5587000,9920
5587000,11200
5587000,12000
5587000,12600
5587000,13800
5587000,16200
5587000,16300
5587000,17400
5587000,18300
5587000,18600
5587000,19400
5587000,23600
5587000,26500
5587000,29400
5587000,40100
5587000,42700
6813000,3290
6813000,6160
6813000,6220
6813000,6930
6813000,7500
6813000,7580
6813000,9290
6813000,9600
6813000,9930
6813000,9950
6813000,10700
6813000,10900
6813000,11600
6813000,12600
6819500,2100
6819500,6540
6819500,7670
6819500,10100
6819500,11300
6819500,11500
6819500,11500
6819500,12700
6819500,16400
6819500,16500
6819500,18500
6819500,18700
6819500,18900
6819500,19200
6819500,19600
6819500,21500
6819500,21800
6819500,23700
6819500,24000
6819500,27200
6820500,3130
6820500,5890
6820500,11400
6820500,13000
6820500,13300
6820500,13300
6820500,14100
6820500,15300
6820500,16100
6820500,17200
6820500,19000
6820500,19200
6820500,19900
6820500,20400
6820500,20500
6820500,21600
6820500,21600
6820500,22200
6820500,22300
6820500,22300
6820500,22500
6820500,22600
6820500,23400
6820500,23600
6820500,23800
6820500,24800
6820500,26800
6820500,41900
6820500,43700
6820500,60800
6821150,527
6821150,1160
6821150,1420
6821150,1680
6821150,1760
6821150,1770
6821150,1890
6821150,1920
6821150,1970
6821150,2740
6821150,2850
6821150,2920
6821150,3530
6821150,3720
6821150,4350
6821150,4800
6821150,4840
6821150,4950
6821150,4970
6821150,5020
6821150,5100
6821150,5100
6821150,5770
6821150,6100
6821150,6370
6821150,7010
6821150,8200
6821150,9660
6821150,9960
6821150,10600
6821190,3580
6821190,7710
6821190,10400
6821190,10800
6821190,11200
6821190,11300
6821190,11400
6821190,11900
6821190,12300
6821190,14100
6821190,14400
6821190,14900
6821190,14900
6821190,15600
6821190,15800
6821190,16100
6821190,16800
6821190,17400
6821190,18000
6821190,18200
6821190,20400
6821190,20900
6821190,21400
6821190,22100
6821190,22300
6821190,22600
6821190,23000
6821190,34600
6821190,37800
6821190,41800
6893000,73900
6893000,81400
6893000,83500
6893000,103000
6893000,103000
6893000,113000
6893000,115000
6893000,119000
6893000,139000
6893000,140000
6893000,140000
6893000,160000
6893000,164000
6893000,167000
6893000,168000
6893000,169000
6893000,172000
6893000,180000
6893000,190000
6893000,190000
6893000,201000
6893000,211000
6893000,212000
6893000,220000
6893000,224000
6893000,240000
6893000,245000
6893000,286000
6893000,308000
6893000,541000
6893500,4980
6893500,5360
6893500,5960
6893500,6420
6893500,6550
6893500,7750
6893500,8430
6893500,8830
6893500,8930
6893500,8950
6893500,9270
6893500,9680
6893500,10400
6893500,10600
6893500,12300
6893500,12500
6893500,12800
6893500,14100
6893500,14600
6893500,14700
6893500,14900
6893500,15400
6893500,15600
6893500,16800
6893500,17200
6893500,17900
6893500,18700
6893500,18800
6893500,23900
6893500,43900
6893890,72.9
6893890,83
6893890,170
6893890,213
6893890,221
6893890,253
6893890,270
6893890,293
6893890,335
6893890,389
6893890,496
6893890,506
6893890,525
6893890,526
6893890,570
6893890,595
6893890,610
6893890,640
6893890,644
6894000,2310
6894000,2590
6894000,3140
6894000,3250
6894000,3680
6894000,3820
6894000,4280
6894000,4930
6894000,5050
6894000,5130
6894000,5300
6894000,5590
6894000,5650
6894000,5840
6894000,5970
6894000,6000
6894000,6360
6894000,6600
6894000,7050
6894000,7320
6894000,7520
6894000,8490
6894000,8590
6894000,9250
6894000,9620
6894000,9840
6894000,10700
6894000,11700
6894000,12100
6894000,14100
6895000,871
6895000,3650
6895000,3880
6895000,4080
6895000,4120
6895000,4120
6895000,4370
6895000,4870
6895000,5070
6895000,5320
6895000,6130
6895000,6180
6895000,11000
6895500,81200
6895500,95300
6895500,103000
6895500,108000
6895500,119000
6895500,123000
6895500,125000
6895500,125000
6895500,146000
6895500,147000
6895500,161000
6895500,163000
6895500,174000
6895500,175000
6895500,180000
6895500,183000
6895500,192000
6895500,209000
