StationID,PeakValue
6465500,39000
6465500,6290
6465500,25600
6465500,10100
6465500,28700
6465500,4880
6465500,16000
6465500,9460
6465500,6740
6465500,9000
6465500,5040
6465500,6600
6465500,6320
6465500,7000
6465500,3710
6465500,3600
6465500,3800
6465500,6400
6465500,11200
6465500,4150
6465500,4890
6465500,4090
6465500,4950
6465500,7400
6465500,7790
6465500,4570
6465500,5910
6465500,7040
6465500,6730
6465500,4090
6465500,3290
6774000,25400
6774000,6720
6774000,7000
6774000,3970
6774000,4680
6774000,13000
6774000,7720
6774000,24700
6774000,3640
6774000,13000
6774000,5480
6774000,11400
6774000,7800
6774000,16900
6774000,8400
6774000,6440
6774000,4440
6774000,4860
6774000,19700
6774000,9600
6774000,15500
6774000,3890
6774000,7390
6774000,24200
6774000,19100
6774000,10900
6774000,11500
6774000,15800
6774000,8200
6774000,8400
6774000,4300
6786000,1700
6786000,1230
6786000,2330
6786000,1250
6786000,2400
6786000,1090
6786000,1470
6786000,1710
6786000,1250
6786000,1130
6786000,1230
6786000,2180
6786000,1310
6786000,1480
6786000,1040
6786000,960
6786000,935
6786000,2870
6786000,2220
6786000,1600
6786000,1250
6786000,1370
6786000,1370
6786000,3210
6786000,1420
6786000,1600
6786000,1710
6786000,1630
6786000,1420
6786000,1450
6786000,1070
6790500,9190
6790500,5160
6790500,12300
6790500,2400
6790500,8160
6790500,6140
6790500,36400
6790500,6850
6790500,4450
6790500,3700
6790500,2340
6790500,4200
6790500,6700
6790500,3600
6790500,3270
6790500,3560
6790500,2260
6790500,3640
6790500,7000
6790500,3640
6790500,2310
6790500,18600
6790500,4480
6790500,6540
6790500,3660
6790500,3340
6790500,4560
6790500,3960
6790500,3100
6790500,7800
6790500,4030
6795500,2180
6795500,340
6795500,2820
6795500,2030
6795500,1900
6795500,2620
6795500,2000
6795500,2900
6795500,314
6795500,2460
6795500,600
6795500,3600
6795500,1260
6795500,3390
6795500,206
6795500,1100
6795500,1380
6795500,734
6795500,389
6795500,1660
6795500,4970
6795500,1460
6795500,2280
6795500,1580
6795500,1900
6795500,1850
6795500,802
6795500,3260
6795500,8000
6799000,13500
6799000,1100
6799000,9720
6799000,1020
6799000,6080
6799000,2850
6799000,5500
6799000,16900
6799000,720
6799000,16300
6799000,2830
6799000,15000
6799000,6420
6799000,2240
6799000,1430
6799000,2040
6799000,1600
6799000,4880
6799000,7000
6799000,3970
6799000,2960
6799000,1860
6799000,4590
6799000,8460
6799000,7790
6799000,3490
6799000,6510
6799000,13100
6799000,1920
6799000,2650
6799000,10500
6799350,5940
6799350,21300
6799350,2950
6799350,17700
6799350,12700
6799350,11400
6799350,44000
6799350,1090
6799350,33000
6799350,2470
6799350,31500
6799350,10200
6799350,6100
6799350,8400
6799350,6140
6799350,4140
6799350,5450
6799350,28300
6799350,10200
6799350,6710
6799350,3430
6799350,15000
6799350,10400
6799350,24300
6799350,13400
6799350,10400
6799350,18900
6799350,5090
6799350,10500
6799350,30300
6800500,46900
6800500,9480
6800500,50200
6800500,7350
6800500,18800
6800500,19200
6800500,30100
6800500,39600
6800500,6540
6800500,18500
6800500,3310
6800500,41700
6800500,9160
6800500,8900
6800500,19200
6800500,10800
6800500,6050
6800500,9200
6800500,38900
6800500,14800
6800500,12200
6800500,5100
6800500,19800
6800500,18700
6800500,43100
6800500,18500
6800500,20500
6800500,23500
6800500,6210
6800500,9950
6800500,37000
6803500,17200
6803500,2650
6803500,4950
6803500,21600
6803500,14800
6803500,13900
6803500,4580
6803500,11500
6803500,2180
6803500,7270
6803500,940
6803500,4110
6803500,3980
6803500,8730
6803500,21200
6803500,868
6803500,610
6803500,7600
6803500,6110
6803500,11900
6803500,5680
6803500,4670
6803500,17500
6803500,10500
