StationID,PeakValue
6465500,3290
6465500,4330
6465500,2940
6465500,5790
6465500,6620
6465500,11600
6465500,10000
6465500,7600
6465500,4950
6465500,12200
6465500,4620
6465500,8580
6465500,3770
6465500,4340
6465500,6810
6465500,5230
6465500,5230
6465500,9530
6465500,12400
6465500,4850
6465500,34100
6465500,11100
6465500,5500
6465500,4560
6465500,7670
6465500,4710
6465500,8180
6465500,4910
6465500,6300
6465500,123000
6465500,15500
6774000,4300
6774000,8480
6774000,3950
6774000,18000
6774000,10000
6774000,16200
6774000,7100
6774000,9770
6774000,14700
6774000,11600
6774000,4890
6774000,7770
6774000,2620
6774000,2880
6774000,2300
6774000,11700
6774000,1870
6774000,7140
6774000,15500
6774000,5230
6774000,12300
6774000,13000
6774000,7090
6774000,8850
6774000,10700
6774000,16800
6774000,10200
6774000,4470
6774000,3580
6774000,20200
6774000,12600
6786000,1070
6786000,1840
6786000,1410
6786000,2150
6786000,911
6786000,3480
6786000,1700
6786000,1330
6786000,1240
6786000,1180
6786000,969
6786000,2340
6786000,1280
6786000,1360
6786000,3660
6786000,2540
6786000,1360
6786000,2970
6786000,3400
6786000,2330
6786000,16300
6786000,2730
6786000,1280
6786000,1330
6786000,2450
6786000,2370
6786000,1990
6786000,1590
6786000,2070
6786000,3740
6786000,3270
6790500,4030
6790500,3390
6790500,8700
6790500,11100
6790500,9600
6790500,7800
6790500,5890
6790500,7340
6790500,8050
6790500,6130
6790500,4410
6790500,6030
6790500,3470
6790500,2440
6790500,2810
6790500,3360
6790500,2680
6790500,8310
6790500,6450
6790500,3830
6790500,11900
6790500,4130
6790500,3110
6790500,4310
6790500,4490
6790500,2280
6790500,5120
6790500,4720
6790500,6390
6790500,41900
6790500,4820
6795500,8000
6795500,1480
6795500,645
6795500,3600
6795500,1790
6795500,2380
6795500,2320
6795500,1300
6795500,1570
6795500,5230
6795500,1630
6795500,1670
6795500,1130
6795500,1600
6795500,5430
6795500,839
6795500,328
6795500,2200
6795500,11200
6795500,1030
6795500,4630
6795500,963
6795500,1170
6795500,555
6795500,871
6795500,668
6795500,1390
6795500,874
6795500,3460
6795500,11000
6795500,581
6799000,10500
6799000,10700
6799000,1700
6799000,8250
6799000,4600
6799000,19200
6799000,7640
6799000,3550
6799000,9090
6799000,8170
6799000,3030
6799000,4680
6799000,640
6799000,1240
6799000,2840
6799000,5340
6799000,3100
6799000,7800
6799000,13800
6799000,3350
6799000,41100
6799000,4060
6799000,1730
6799000,1680
6799000,1780
6799000,2280
6799000,6810
6799000,3490
6799000,5410
6799000,30100
6799000,4890
6799350,30300
6799350,27400
6799350,13500
6799350,28800
6799350,13200
6799350,19000
6799350,22500
6799350,9000
6799350,9920
6799350,18500
6799350,10800
6799350,7670
6799350,4830
6799350,6710
6799350,11000
6799350,7180
6799350,5460
6799350,21300
6799350,14300
6799350,9160
6799350,65400
6799350,6780
6799350,6660
6799350,5450
6799350,10300
6799350,3520
6799350,10400
6799350,8200
6799350,14300
6799350,79000
6799350,6180
6800500,37000
6800500,24300
6800500,19100
6800500,33500
6800500,15800
6800500,23400
6800500,35100
6800500,20200
6800500,26300
6800500,27300
6800500,11900
6800500,15400
6800500,14000
6800500,16200
6800500,21600
6800500,13600
6800500,5470
6800500,18300
6800500,35800
6800500,11500
6800500,55200
6800500,23800
6800500,8050
6800500,5050
6800500,19100
6800500,15600
6800500,27700
6800500,14600
6800500,27800
6800500,117000
6800500,8790
6803500,19200
6803500,4880
6803500,7310
6803500,28400
6803500,4450
6803500,8470
6803500,12900
6803500,5670
6803500,15300
6803500,9120
6803500,1960
6803500,7710
6803500,2850
6803500,6000
6803500,5740
6803500,5410
6803500,3120
6803500,18600
6803500,14200
6803500,8680
6803500,13500
6803500,5230
6803500,4730
6803500,8810
6803500,5200
6803500,34800
6803500,9210
6803500,12000
6803500,9820
6803500,19000
6803500,6800
6805500,67000
6805500,55500
6805500,28000
6805500,160000
6805500,47300
6805500,70500
6805500,52200
6805500,46000
6805500,51000
6805500,57100
6805500,22300
6805500,49800
6805500,17000
6805500,34200
6805500,30700
6805500,27000
6805500,16100
6805500,49900
6805500,96600
6805500,37000
6805500,136000
6805500,45400
6805500,21000
6805500,24900
6805500,55200
6805500,55400
6805500,54800
6805500,54400
6805500,52600
6805500,250000
6805500,38000
6807000,115000
6807000,91200
6807000,55400
6807000,196000
6807000,90700
6807000,109000
6807000,141000
6807000,113000
6807000,97300
6807000,104000
6807000,67800
6807000,99400
6807000,58400
6807000,65900
6807000,82000
6807000,61100
6807000,47900
6807000,122000
6807000,139000
6807000,66100
6807000,168000
6807000,229000
6807000,62500
6807000,94800
6807000,121000
6807000,85200
6807000,110000
6807000,98200
6811500,17900
6811500,2510
6811500,40300
6811500,105000
6811500,19800
6811500,20400
6811500,35000
6811500,11300
6811500,23300
6811500,27400
6811500,19100
6811500,73600
6811500,2900
6811500,17600
6811500,23300
6811500,10800
6811500,7270
6811500,24500
6811500,36300
6811500,6350
6811500,41700
6811500,13900
6811500,12700
6811500,16100
6811500,16000
6811500,25400
6811500,19700
6811500,11500
6811500,12900
6811500,28100
6811500,13500
6813500,120000
6813500,99300
6813500,87200
6813500,307000
6813500,92500
6813500,127000
6813500,165000
6813500,123000
6813500,133000
6813500,125000
6813500,72100
6813500,108000
6813500,59500
6813500,77700
6813500,109000
6813500,85900
6813500,49200
6813500,245000
6813500,167000
6813500,71700
6813500,216000
6813500,328000
6813500,84000
6813500,110000
6813500,121000
6813500,109000
6813500,120000
6813500,117000
6813500,138000
6823500,9.5
6823500,13
6823500,12
6823500,23
6823500,12
6823500,10
6823500,13
6823500,17
6823500,13
6823500,22
6823500,23
6823500,35
6823500,9.3
6823500,33
6823500,15
6823500,11
6823500,12
6823500,23
6823500,6.9
6823500,17
6823500,10
6823500,14
6823500,20
6823500,7.1
6823500,7.3
6823500,11
6823500,21
6823500,13.3
6823500,14.4
6823500,7.4
6823500,440
6828500,1330
6828500,850
6828500,1690
6828500,523
6828500,583
6828500,1250
6828500,2310
6828500,270
6828500,1480
6828500,474
6828500,168
6828500,214
6828500,1660
6828500,303
6828500,68
6828500,80
6828500,129
6828500,233
6828500,142
6828500,201
6828500,346
6828500,239
6828500,117
6828500,435
6828500,126
6828500,2430
6828500,249
6828500,160
6828500,112
6828500,136
6828500,1520
