Station_ID,Recurrence_Interval,Flood_Magnitude
5388250,2,6333.191879
5388250,5,8873.062839
5388250,10,10492.56624
5388250,25,12452.88911
5388250,50,13851.3438
5388250,100,15199.8726
5452000,2,3053.259201
5452000,5,7726.035038
5452000,10,12131.09248
5452000,25,18528.17364
5452000,50,23635.72388
5452000,100,28898.56883
5452200,2,3021.268066
5452200,5,4833.456983
5452200,10,5921.074159
5452200,25,7191.482836
5452200,50,8074.370915
5452200,100,8911.028096
5454500,2,9171.26048
5454500,5,11560.2282
5454500,10,12600.48087
5454500,25,13563.49941
5454500,50,14110.06518
5454500,100,14553.91757
5455500,2,6549.85936
5455500,5,11233.62785
5455500,10,14431.26374
5455500,25,18448.84826
5455500,50,21389.97381
5455500,100,24273.30611
5458000,2,3666.711298
5458000,5,6412.156947
5458000,10,8146.10641
5458000,25,10233.54534
5458000,50,11716.86935
5458000,100,13143.5791
5458900,2,5900.717246
5458900,5,11527.57698
5458900,10,15398.94085
5458900,25,20282.72196
5458900,50,23867.66708
5458900,100,27388.10626
5464000,2,22845.39969
5464000,5,40590.767
5464000,10,52514.16548
5464000,25,67369.23609
5464000,50,78182.14712
5464000,100,88744.66907
5464500,2,25427.99308
5464500,5,42008.35677
5464500,10,52951.44468
5464500,25,66454.16176
5464500,50,76217.6737
5464500,100,85715.0242
5465000,2,26598.60934
5465000,5,43318.43693
5465000,10,54593.86536
5465000,25,68669.01881
5465000,50,78927.82591
5465000,100,88957.4465
5470500,2,2497.929209
5470500,5,4932.388225
5470500,10,7033.174837
5470500,25,9976.405015
5470500,50,12280.52157
5470500,100,14629.78149
5479000,2,3576.889407
5479000,5,7279.59292
5479000,10,10132.45353
5479000,25,13935.99908
5479000,50,16828.36281
5479000,100,19729.55987
5481000,2,5189.806182
5481000,5,8554.157703
5481000,10,10782.3444
5481000,25,13536.90099
5481000,50,15531.25881
5481000,100,17472.862
5481300,2,15378.32575
5481300,5,23245.54291
5481300,10,27835.45642
5481300,25,33103.60239
5481300,50,36716.12458
5481300,100,40108.19106
5484800,2,1948.920281
5484800,5,5247.556993
5484800,10,8157.33504
5484800,25,12271.29189
5484800,50,15508.37368
5484800,100,18818.03658
5485500,2,27896.94892
5485500,5,42594.46127
5485500,10,51332.83767
5485500,25,61481.15677
5485500,50,68503.17258
5485500,100,75137.72398
5485640,2,2724.234528
5485640,5,4240.111268
5485640,10,5086.449147
5485640,25,6030.654873
5485640,50,6663.80412
5485640,100,7249.033768
5486490,2,7833.728304
5486490,5,10940.72723
5486490,10,12589.81689
5486490,25,14367.39213
5486490,50,15526.18301
5486490,100,16575.53383
5487980,2,6048.111476
5487980,5,10596.81894
5487980,10,14808.50214
5487980,25,20881.21106
5487980,50,25711.19784
5487980,100,30677.97365
6483500,2,6271.186483
6483500,5,14609.58785
6483500,10,21000.12404
6483500,25,29499.38379
6483500,50,35952.88158
6483500,100,42420.4633
6485500,2,7769.641267
6485500,5,24193.66582
6485500,10,39296.8153
6485500,25,61013.91741
6485500,50,78261.18421
6485500,100,95982.94667
6600500,2,4722.157079
6600500,5,10066.74656
6600500,10,14110.87697
6600500,25,19457.61083
6600500,50,23502.57894
6600500,100,27547.73461
6607200,2,7330.332399
6607200,5,12167.65355
6607200,10,15207.81598
6607200,25,18857.42377
6607200,50,21445.53046
6607200,100,23931.51617
6607500,2,14346.72776
6607500,5,22875.78307
6607500,10,27800.70733
6607500,25,33416.51868
6607500,50,37247.94978
6607500,100,40832.89045
6608500,2,8544.509198
6608500,5,13373.64032
6608500,10,16127.75265
6608500,25,19243.33699
6608500,50,21355.75473
6608500,100,23323.65399
6609500,2,12857.49975
6609500,5,19689.16761
6609500,10,23670.24003
6609500,25,28236.19925
6609500,50,31365.42129
6609500,100,34302.51648
6609560,2,1036.289451
6609560,5,2295.736824
6609560,10,3387.585281
6609560,25,4920.22493
6609560,50,6121.355196
6609560,100,7346.741991
6807410,2,10015.07766
6807410,5,15457.71879
6807410,10,18598.61938
6807410,25,22178.80218
6807410,50,24620.6997
6807410,100,26905.03707
6808500,2,14833.64282
6808500,5,24110.97852
6808500,10,29790.51355
6808500,25,36504.38266
6808500,50,41212.13295
6808500,100,45700.35746
6809500,2,11400.911
6809500,5,17421.94839
6809500,10,21077.9387
6809500,25,25378.61557
6809500,50,28383.28015
6809500,100,31240.82735
6810000,2,18810.13118
6810000,5,25358.05094
6810000,10,28607.13591
6810000,25,31943.01079
6810000,50,34028.22624
6810000,100,35857.6148
6817000,2,16384.74831
6817000,5,23464.76808
6817000,10,27015.72353
6817000,25,30690.67699
6817000,50,33004.04914
6817000,100,35044.58396
6898000,2,7719.151592
6898000,5,11617.3304
6898000,10,14181.51042
6898000,25,17339.65801
6898000,50,19620.33635
6898000,100,21837.03714
