StationID,Recurrence_Interval,Flood_Magnitude
5388250,2,7264.911235
5388250,5,15795.5448
5388250,10,22629.59946
5388250,25,31902.93284
5388250,50,39029.7762
5388250,100,46221.92069
5452000,2,3679.533864
5452000,5,11038.63327
5452000,10,17711.36102
5452000,25,27252.01391
5452000,50,34805.68156
5452000,100,42554.43083
5452200,2,3233.435117
5452200,5,5337.268142
5452200,10,6628.694882
5452200,25,8157.757052
5452200,50,9231.202083
5452200,100,10255.40387
5454500,2,8736.887323
5454500,5,15178.63988
5454500,10,20609.07644
5454500,25,28142.63515
5454500,50,34007.4352
5454500,100,39968.80329
5455500,2,6856.523768
5455500,5,14365.20284
5455500,10,20565.20964
5455500,25,29090.29713
5455500,50,35693.12195
5455500,100,42385.61473
5458000,2,3464.558192
5458000,5,8400.516768
5458000,10,12488.55956
5458000,25,18117.02418
5458000,50,22479.6686
5458000,100,26903.42832
5458900,2,6655.933231
5458900,5,11704.04611
5458900,10,15108.02384
5458900,25,19356.99324
5458900,50,22453.78182
5458900,100,25481.31753
5464000,2,31506.45067
5464000,5,55886.41023
5464000,10,72622.44711
5464000,25,93710.46596
5464000,50,109178.0157
5464000,100,124359.8485
5464500,2,34638.64581
5464500,5,59667.64024
5464500,10,77283.0266
5464500,25,99765.17946
5464500,50,116395.8561
5464500,100,132805.0429
5465000,2,38851.94377
5465000,5,63131.1906
5465000,10,79697.43613
5465000,25,100505.504
5465000,50,115735.2939
5465000,100,130663.9642
5470500,2,2763.552818
5470500,5,7623.807999
5470500,10,12168.93526
5470500,25,18748.43951
5470500,50,23992.68404
5470500,100,29391.52922
5479000,2,5728.504402
5479000,5,9354.725861
5479000,10,11767.33057
5479000,25,14757.25252
5479000,50,16925.7122
5479000,100,19039.09972
5481000,2,7089.012495
5481000,5,11973.38847
5481000,10,15266.92086
5481000,25,19378.00416
5481000,50,22374.28484
5481000,100,25303.55292
5481300,2,23362.65098
5481300,5,35315.78893
5481300,10,42740.47077
5481300,25,51592.9116
5481300,50,57839.51225
5481300,100,63819.96556
5484800,2,2799.583604
5484800,5,5113.510789
5484800,10,7039.84604
5484800,25,9697.934562
5484800,50,11760.87016
5484800,100,13854.19788
5485500,2,30820.19413
5485500,5,51656.78643
5485500,10,67568.69459
5485500,25,88695.98329
5485500,50,104721.6102
5485500,100,120772.6811
5485640,2,2114.713629
5485640,5,4488.143971
5485640,10,6451.967906
5485640,25,9154.661491
5485640,50,11249.02636
5485640,100,13372.44613
5486490,2,10124.70155
5486490,5,13581.18993
5486490,10,15197.37039
5486490,25,16782.70351
5486490,50,17733.46751
5486490,100,18540.92946
5487980,2,8784.807853
5487980,5,15311.8639
5487980,10,20170.43722
5487980,25,26544.39046
5487980,50,31343.29943
5487980,100,36128.83588
6483500,2,7204.229193
6483500,5,19828.90523
6483500,10,30680.98164
6483500,25,45860.19879
6483500,50,57732.40942
6483500,100,69831.16018
6485500,2,13172.76962
6485500,5,34200.8657
6485500,10,52337.58651
6485500,25,77741.98098
6485500,50,97627.50875
6485500,100,117901.3182
6600500,2,3613.709861
6600500,5,9270.371003
6600500,10,14702.10789
6600500,25,22647.56819
6600500,50,29015.89612
6600500,100,35591.118
6607200,2,5057.592757
6607200,5,10818.89929
6607200,10,15098.54769
6607200,25,20707.43724
6607200,50,24927.70659
6607200,100,29134.66554
6607500,2,12006.97022
6607500,5,22388.53899
6607500,10,30097.49396
6607500,25,40199.1013
6607500,50,47798.99376
6607500,100,55374.43816
6608500,2,5474.597539
6608500,5,14816.57795
6608500,10,22808.15887
6608500,25,33963.6403
6608500,50,42678.74019
6608500,100,51554.55554
6609500,2,9484.660523
6609500,5,19345.43545
6609500,10,26394.97935
6609500,25,35463.17727
6609500,50,42205.61889
6609500,100,48879.04973
6609560,2,1333.700976
6609560,5,3118.347519
6609560,10,4519.446669
6609560,25,6403.508933
6609560,50,7843.66889
6609560,100,9292.552273
6807410,2,7181.87748
6807410,5,14352.89978
6807410,10,19468.3605
6807410,25,26041.506
6807410,50,30925.37535
6807410,100,35757.1954
6808500,2,10246.84776
6808500,5,18504.42521
6808500,10,24136.16528
6808500,25,31208.22401
6808500,50,36383.55006
6808500,100,41456.03813
6809500,2,11456.35526
6809500,5,21458.63232
6809500,10,29131.90574
6809500,25,39341.8179
6809500,50,47096.37417
6809500,100,54869.11143
6810000,2,17945.56763
6810000,5,30717.58823
6810000,10,39666.48715
6810000,25,51061.92453
6810000,50,59478.90621
6810000,100,67776.21297
6817000,2,20231.9418
6817000,5,31865.67654
6817000,10,38623.34941
6817000,25,46358.12622
6817000,50,51650.73306
6817000,100,56612.96901
6898000,2,9539.449178
6898000,5,19112.03352
6898000,10,26618.21202
6898000,25,36706.25681
6898000,50,44414.92186
6898000,100,52168.81177
