StationID,Recurrence_Interval,Flood_Magnitude
6814000,2,7135.960399
6814000,5,12391.93749
6814000,10,15672.19798
6814000,25,19594.09404
6814000,50,22367.11954
6814000,100,25025.55377
6845000,2,584.0928196
6845000,5,841.5718414
6845000,10,974.1940097
6845000,25,1114.140028
6845000,50,1203.736454
6845000,100,1283.785673
6846000,2,383.6966597
6846000,5,1130.727355
6846000,10,1804.509478
6846000,25,2765.81999
6846000,50,3526.031101
6846000,100,4305.38658
6846500,2,318.1825918
6846500,5,883.1620411
6846500,10,1437.906207
6846500,25,2256.45952
6846500,50,2915.54127
6846500,100,3597.652831
6848500,2,551.5573749
6848500,5,1915.308058
6848500,10,3252.944492
6848500,25,5225.889801
6848500,50,6814.124162
6848500,100,8457.673488
6853800,2,1298.59891
6853800,5,3770.525491
6853800,10,6297.045771
6853800,25,10083.03411
6853800,50,13155.90041
6853800,100,16349.21149
6854000,2,513.1745328
6854000,5,804.2952765
6854000,10,974.8056125
6854000,25,1170.991778
6854000,50,1305.776891
6854000,100,1432.50234
6856000,2,6512.696857
6856000,5,11807.94606
6856000,10,16347.53658
6856000,25,22690.11371
6856000,50,27647.72539
6856000,100,32698.18075
6857100,2,4670.266657
6857100,5,8292.332605
6857100,10,10988.98266
6857100,25,14527.01093
6857100,50,17190.91056
6857100,100,19847.46994
6860000,2,839.439422
6860000,5,4493.927168
6860000,10,8545.53847
6860000,25,14805.65748
6860000,50,19965.60378
6860000,100,25369.49696
6861000,2,2002.722569
6861000,5,5202.524152
6861000,10,7726.598902
6861000,25,11128.00558
6861000,50,13731.35304
6861000,100,16352.39883
6862700,2,726.3739978
6862700,5,3885.562429
6862700,10,7315.982862
6862700,25,12575.33064
6862700,50,16893.69723
6862700,100,21407.56158
6863500,2,1254.759988
6863500,5,2462.884711
6863500,10,3298.301192
6863500,25,4354.952717
6863500,50,5131.94404
6863500,100,5895.780679
6864050,2,3454.095437
6864050,5,8112.413104
6864050,10,11664.81722
6864050,25,16378.5408
6864050,50,19952.6148
6864050,100,23531.53777
6865500,2,1669.868289
6865500,5,3024.887328
6865500,10,3926.907892
6865500,25,5045.107452
6865500,50,5856.254679
6865500,100,6646.903928
6866500,2,4184.107638
6866500,5,7474.22966
6866500,10,9746.860566
6866500,25,12619.70698
6866500,50,14731.41317
6866500,100,16806.88429
6867000,2,1808.147453
6867000,5,5504.390039
6867000,10,8680.205794
6867000,25,13121.49401
6867000,50,16594.81065
6867000,100,20134.19471
6871000,2,1429.973983
6871000,5,3680.51057
6871000,10,5462.745269
6871000,25,7868.68379
6871000,50,9712.063091
6871000,100,11569.08993
6872500,2,2889.039526
6872500,5,5643.754499
6872500,10,7543.190529
6872500,25,9942.078664
6872500,50,11704.32099
6872500,100,13435.66877
6873200,2,180.545901
6873200,5,435.6909804
6873200,10,743.5500554
6873200,25,1234.31886
6873200,50,1645.036211
6873200,100,2078.381761
6874000,2,1222.810393
6874000,5,4141.513795
6874000,10,6832.400752
6874000,25,10705.66892
6874000,50,13783.45548
6874000,100,16946.85336
6876700,2,999.3946641
6876700,5,4173.495316
6876700,10,7529.759155
6876700,25,12624.31808
6876700,50,16786.47238
6876700,100,21126.14578
6879100,2,19242.23107
6879100,5,28565.2148
6879100,10,34373.95128
6879100,25,41312.12094
6879100,50,46214.34898
6879100,100,50911.78331
6884400,2,12527.86692
6884400,5,21787.64781
6884400,10,28533.52423
6884400,25,37292.04815
6884400,50,43843.18802
6884400,100,50350.61983
6887500,2,32477.11234
6887500,5,46408.34811
6887500,10,54419.30617
6887500,25,63529.8778
6887500,50,69732.77531
6887500,100,75528.22228
6888000,2,7578.274694
6888000,5,12312.66385
6888000,10,15417.61472
6888000,25,19235.54302
6888000,50,21989.5482
6888000,100,24664.34765
6890900,2,6046.239063
6890900,5,9177.229494
6890900,10,10981.07473
6890900,25,13035.00852
6890900,50,14434.7461
6890900,100,15743.40522
6892000,2,7578.974451
6892000,5,12483.9935
6892000,10,15684.95029
6892000,25,19610.19818
6892000,50,22436.22413
6892000,100,25177.61744
6892350,2,61963.99402
6892350,5,87477.36153
6892350,10,103389.4828
6892350,25,122406.5783
6892350,50,135848.9844
6892350,100,148733.4469
6893300,2,4010.088352
6893300,5,6421.551526
6893300,10,8160.570629
6893300,25,10407.20967
6893300,50,12082.28662
6893300,100,13743.00259
6910800,2,5893.083696
6910800,5,17421.41137
6910800,10,29314.5607
6910800,25,47199.74926
6910800,50,61742.49083
6910800,100,76869.20736
7138000,2,1057.245382
7138000,5,2472.243258
7138000,10,13803.33364
7138000,25,53588.79823
7138000,50,99224.36492
7138000,100,154097.8614
7142300,2,154.2809621
7142300,5,1212.859027
7142300,10,3389.877306
7142300,25,7613.38362
7142300,50,11469.60905
7142300,100,15702.7147
7143300,2,1060.499531
7143300,5,3857.94722
7143300,10,7579.217568
7143300,25,13726.34725
7143300,50,18957.71869
7143300,100,24521.57471
7144550,2,13486.25819
7144550,5,27737.58999
7144550,10,38852.80229
7144550,25,53754.99879
7144550,50,65125.66783
7144550,100,76553.41293
7144795,2,1299.258395
7144795,5,1763.317665
7144795,10,1957.390541
7144795,25,2131.002813
7144795,50,2226.255322
7144795,100,2301.453675
