StationID,Recurrence_Interval,Flood_Magnitude
6814000,2,6721.986863
6814000,5,11445.72916
6814000,10,14450.64708
6814000,25,18083.06719
6814000,50,20671.87967
6814000,100,23166.70704
6845000,2,21.03570885
6845000,5,213.4573251
6845000,10,654.1732863
6845000,25,1545.303929
6845000,50,2372.962854
6845000,100,3288.183306
6846000,2,134.4117885
6846000,5,479.7324261
6846000,10,793.7629153
6846000,25,1243.294016
6846000,50,1599.433186
6846000,100,1964.895897
6846500,2,148.2219274
6846500,5,371.2669887
6846500,10,541.4168905
6846500,25,767.225875
6846500,50,938.4568339
6846500,100,1109.929691
6848500,2,555.4297255
6848500,5,1283.65754
6848500,10,1819.649523
6848500,25,2519.02402
6848500,50,3043.790196
6848500,100,3566.038459
6853800,2,974.3744429
6853800,5,2722.570151
6853800,10,4199.408824
6853800,25,6250.032837
6853800,50,7847.237389
6853800,100,9471.198442
6854000,2,65.09206084
6854000,5,706.6082571
6854000,10,1835.115041
6854000,25,3899.84853
6854000,50,5738.838575
6854000,100,7735.769057
6856000,2,5893.316318
6856000,5,11970.37955
6856000,10,16804.62373
6856000,25,23343.80284
6856000,50,28360.00756
6856000,100,33416.81399
6857100,2,5157.333576
6857100,5,10563.83782
6857100,10,14878.14632
6857100,25,20722.17114
6857100,50,25208.84593
6857100,100,29733.97372
6860000,2,701.5237911
6860000,5,2753.813634
6860000,10,4591.562097
6860000,25,7205.86754
6860000,50,9269.949938
6860000,100,11384.18416
6861000,2,793.8073561
6861000,5,2478.210298
6861000,10,3878.3539
6861000,25,5809.11473
6861000,50,7307.012565
6861000,100,8826.661686
6862700,2,757.3197687
6862700,5,3699.177128
6862700,10,6690.693624
6862700,25,11164.74531
6862700,50,14792.4373
6862700,100,18560.39696
6863500,2,833.7697076
6863500,5,1947.605531
6863500,10,2799.121857
6863500,25,3930.311463
6863500,50,4788.617632
6863500,100,5648.44288
6864050,2,4107.677652
6864050,5,9276.419121
6864050,10,13385.74241
6864050,25,18942.91164
6864050,50,23205.16576
6864050,100,27501.54533
6865500,2,1586.950513
6865500,5,3044.212102
6865500,10,4035.482926
6865500,25,5278.562057
6865500,50,6187.403783
6865500,100,7077.670395
6866500,2,3122.783638
6866500,5,6020.971982
6866500,10,8069.154321
6866500,25,10688.66623
6866500,50,12629.04031
6866500,100,14545.17112
6867000,2,676.8938089
6867000,5,4759.881555
6867000,10,10985.80577
6867000,25,21794.19399
6867000,50,31202.23507
6867000,100,41313.29638
6871000,2,745.8194485
6871000,5,2966.620356
6871000,10,5053.478584
6871000,25,8080.194683
6871000,50,10495.14042
6871000,100,12982.62363
6872500,2,2122.439054
6872500,5,6259.710292
6872500,10,9824.324083
6872500,25,14815.12329
6872500,50,18720.74249
6872500,100,22702.07848
6873200,2,162.892098
6873200,5,354.1022627
6873200,10,557.601643
6873200,25,867.2543746
6873200,50,1120.546522
6873200,100,1384.805427
6874000,2,574.3377793
6874000,5,4493.219694
6874000,10,11458.76489
6874000,25,24252.05273
6874000,50,35665.42782
6874000,100,48068.09566
6876700,2,1087.409017
6876700,5,2664.796546
6876700,10,4033.671447
6876700,25,5955.992259
6876700,50,7462.874978
6876700,100,9000.388611
6879100,2,14995.23711
6879100,5,28272.65267
6879100,10,38290.86509
6879100,25,51518.27114
6879100,50,61516.95569
6879100,100,71511.26744
6884400,2,12902.23657
6884400,5,23289.84132
6884400,10,31078.13797
6884400,25,41330.66514
6884400,50,49066.26594
6884400,100,56790.06178
6887500,2,23940.02854
6887500,5,47741.24489
6887500,10,67996.77979
6887500,25,96209.94529
6887500,50,118223.9117
6887500,100,140628.5959
6888000,2,5616.89894
6888000,5,9072.247775
6888000,10,11134.50155
6888000,25,13535.14767
6888000,50,15199.21724
6888000,100,16773.38587
6890900,2,7357.192871
6890900,5,10541.2277
6890900,10,12161.15314
6890900,25,13855.32764
6890900,50,14931.62797
6890900,100,15887.64438
6892000,2,6019.105997
6892000,5,13646.52893
6892000,10,20679.04659
6892000,25,30801.92361
6892000,50,38845.90123
6892000,100,47113.68932
6892350,2,56065.66732
6892350,5,92067.51104
6892350,10,114745.2257
6892350,25,142004.5839
6892350,50,161353.7061
6892350,100,179950.904
6893300,2,4470.471016
6893300,5,6953.611359
6893300,10,8701.881116
6893300,25,10933.57372
6893300,50,12584.61898
6893300,100,14213.79609
6910800,2,6517.345811
6910800,5,13322.37246
6910800,10,18225.50096
6910800,25,24557.11886
6910800,50,29276.61485
6910800,100,33954.86588
7138000,2,844.1868614
7138000,5,1594.301198
7138000,10,2146.466611
7138000,25,2866.985118
7138000,50,3407.635646
7138000,100,3945.703442
7142300,2,57.21786418
7142300,5,474.9646936
7142300,10,1071.474616
7142300,25,2082.560575
7142300,50,2953.241456
7142300,100,3884.375681
7143300,2,1788.832001
7143300,5,5359.643038
7143300,10,8854.478239
7143300,25,14004.83708
7143300,50,18149.08031
7143300,100,22436.67931
7144550,2,17117.6707
7144550,5,31257.455
7144550,10,40785.41372
7144550,25,52674.18076
7144550,50,61336.93438
7144550,100,69804.62959
7144795,2,1136.777713
7144795,5,1500.663544
7144795,10,1628.9202
7144795,25,1727.197172
7144795,50,1773.046955
7144795,100,1804.519951
