StationID,Recurrence_Interval,Flood_Magnitude
5474500,2,219647.9969
5474500,5,309681.5175
5474500,10,377480.3287
5474500,25,466914.3225
5474500,50,534479.0979
5474500,100,601991.4595
5495000,2,8545.456233
5495000,5,13038.93032
5495000,10,16086.94209
5495000,25,19903.56664
5495000,50,22691.18905
5495000,100,25420.12559
5495500,2,10866.19997
5495500,5,18708.39636
5495500,10,24351.4628
5495500,25,31633.90663
5495500,50,37059.88775
5495500,100,42437.10622
5496000,2,7057.193809
5496000,5,10245.77874
5496000,10,12213.57807
5496000,25,14550.86558
5496000,50,16195.54262
5496000,100,17767.22208
5497000,2,8473.271885
5497000,5,12770.41053
5497000,10,15499.50175
5497000,25,18795.43225
5497000,50,21142.86752
5497000,100,23404.09644
5498000,2,5844.125576
5498000,5,10091.10393
5498000,10,13369.63307
5498000,25,17744.57239
5498000,50,21073.24314
5498000,100,24413.12463
5500000,2,9387.488241
5500000,5,13616.9913
5500000,10,16310.75237
5500000,25,19569.27218
5500000,50,21892.74673
5500000,100,24132.58693
5501000,2,13849.43425
5501000,5,21824.51468
5501000,10,26669.08216
5501000,25,32369.39587
5501000,50,36352.68125
5501000,100,40141.42416
5502000,2,958.6254223
5502000,5,1498.001974
5502000,10,1820.310104
5502000,25,2195.785604
5502000,50,2456.20322
5502000,100,2702.64682
5502020,2,4011.782764
5502020,5,5763.886102
5502020,10,6857.679559
5502020,25,8165.636299
5502020,50,9090.552378
5502020,100,9977.316806
5502300,2,11270.83397
5502300,5,20139.4228
5502300,10,26313.07659
5502300,25,34148.48926
5502300,50,39923.27268
5502300,100,45608.2818
5502500,2,9608.310543
5502500,5,16888.74666
5502500,10,22030.05837
5502500,25,28603.02706
5502500,50,33470.67734
5502500,100,38276.7855
5503800,2,3172.424536
5503800,5,5280.208683
5503800,10,6737.225382
5503800,25,8579.754136
5503800,50,9934.46331
5503800,100,11266.13705
5506800,2,7596.454381
5506800,5,11984.10997
5506800,10,15064.4201
5506800,25,18990.7698
5506800,50,21892.78179
5506800,100,24754.68343
5507600,2,6458.294196
5507600,5,9148.165124
5507600,10,10794.71393
5507600,25,12741.00185
5507600,50,14105.67045
5507600,100,15406.66248
5507800,2,9763.857476
5507800,5,13845.61352
5507800,10,18691.72305
5507800,25,26371.39651
5507800,50,32780.12713
5507800,100,39532.62662
5508000,2,12364.27411
5508000,5,19096.75307
5508000,10,24484.43689
5508000,25,31791.63537
5508000,50,37405.84486
5508000,100,43070.58031
5508805,2,11152.24628
5508805,5,15302.68594
5508805,10,17702.69325
5508805,25,20441.87002
