StationID,Recurrence_Interval,Flood_Magnitude
6465500,2,5357.817856
6465500,5,11478.3663
6465500,10,18022.11541
6465500,25,27996.471
6465500,50,36162.42883
6465500,100,44685.64335
6774000,2,9008.038498
6774000,5,15394.16382
6774000,10,19901.71711
6774000,25,25663.02326
6774000,50,29928.90122
6774000,100,34140.42865
6786000,2,1410.356699
6786000,5,1933.661489
6786000,10,2321.59813
6786000,25,2829.53354
6786000,50,3211.484301
6786000,100,3592.093086
6790500,2,3761.886432
6790500,5,8210.681225
6790500,10,13085.83929
6790500,25,20585.79937
6790500,50,26754.40145
6790500,100,33207.73878
6795500,2,1689.666493
6795500,5,3135.503055
6795500,10,4138.965926
6795500,25,5410.565237
6795500,50,6346.789142
6795500,100,7267.876942
6799000,2,4572.451477
6799000,5,9328.041506
6799000,10,12748.54417
6799000,25,17161.77927
6799000,50,20449.51676
6799000,100,23707.43111
6799350,2,10537.08917
6799350,5,21091.56038
6799350,10,28755.21183
6799350,25,38689.25046
6799350,50,46111.97876
6799350,100,53480.621
6800500,2,16696.44057
6800500,5,30237.53121
6800500,10,39526.91858
6800500,25,51227.86655
6800500,50,59808.25302
6800500,100,68228.93709
6803500,2,8948.883593
6803500,5,15433.04043
6803500,10,19387.34093
6803500,25,24051.04198
6803500,50,27315.64492
6803500,100,30424.45279
6805500,2,51177.5305
6805500,5,85529.96044
6805500,10,108759.919
6805500,25,137800.1637
6805500,50,158987.3407
6805500,100,179714.053
6807000,2,94831.62634
6807000,5,128765.522
6807000,10,150589.4795
6807000,25,177134.7319
6807000,50,196137.0739
6807000,100,214502.2416
6811500,2,16739.93437
6811500,5,31046.13592
6811500,10,40213.25826
6811500,25,51340.55939
6811500,50,59294.34073
6811500,100,66974.10437
6813500,2,107829.0902
6813500,5,142894.8585
6813500,10,164484.5853
6813500,25,190092.622
6813500,50,208093.8305
6813500,100,225284.3555
6823500,2,22.24273775
6823500,5,34.56246639
6823500,10,43.50874581
6823500,25,55.10594537
6823500,50,63.77165223
6823500,100,72.37437232
6828500,2,2010.50542
6828500,5,5049.87548
6828500,10,8059.084991
6828500,25,12513.63315
6828500,50,16106.36973
6828500,100,19827.8692
