Station_ID,1960-1990,,,,,,1991-2020,,,,,,,,,,,,,,,,,,,,,,,,,
,"Count 2-5, P1","Count 5-10, P1","Count 10-25, P1","Count 25-50, P1","Count 500-100, P1","Count >100, P1","Count 2-5, P2","Count 5-10, P2","Count 10-25, P2","Count 25-50, P2","Count 500-100, P2","Count >100, P2",,,,,,,,,,,,,,,,,,,,
6465500,15,1,1,1,1,0,12,4,0,1,0,1,,,,,,,,,,,,,,,,,,,,
6774000,6,5,3,0,0,0,10,4,1,0,0,0,,,,,,,,,,,,,,,,,,,,
6786000,11,2,2,2,0,0,3,3,6,1,3,3,,,,,,,,,,,,,,,,,,,,
6790500,14,2,1,0,0,1,17,5,0,0,0,1,,,,,,,,,,,,,,,,,,,,
6795500,11,3,1,0,0,1,4,2,2,1,0,3,,,,,,,,,,,,,,,,,,,,
6799000,9,2,5,0,0,0,11,2,1,1,0,2,,,,,,,,,,,,,,,,,,,,
6799350,6,3,3,1,0,0,8,3,2,0,0,2,,,,,,,,,,,,,,,,,,,,
6800500,10,2,5,0,0,0,12,4,0,1,0,1,,,,,,,,,,,,,,,,,,,,
6803500,6,5,3,0,0,0,8,3,0,0,1,1,,,,,,,,,,,,,,,,,,,,
6805500,8,2,4,1,0,0,10,1,1,0,1,1,,,,,,,,,,,,,,,,,,,,
6807000,9,0,3,2,0,0,10,2,1,1,0,1,,,,,,,,,,,,,,,,,,,,
6811500,13,2,1,2,0,0,12,2,2,0,0,2,,,,,,,,,,,,,,,,,,,,
6813500,13,3,1,0,0,1,13,0,2,0,1,3,,,,,,,,,,,,,,,,,,,,
6823500,8,4,0,3,0,0,4,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,
6828500,13,4,0,0,0,1,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Avg,10.13333333,2.666666667,2.2,0.8,0.066666667,0.266666667,9.066666667,2.4,1.2,0.4,0.4,1.466666667,,,,,,,,,,,,,,,,,,,,
