Station_ID,1960-1990,,,,,,1991-2020,,,,,,,,,,,,,
,"Count 2-5, P1","Count 5-10, P1","Count 10-25, P1","Count 25-50, P1","Count 500-100, P1","Count >100, P1","Count 2-5, P2","Count 5-10, P2","Count 10-25, P2","Count 25-50, P2","Count 500-100, P2","Count >100, P2",,,,,,,,
6814000,10,4,0,2,0,0,10,1,2,1,0,0,,,,,,,,
6845000,4,2,1,0,0,0,0,0,0,0,0,1,,,,,,,,
6846000,10,2,0,1,1,0,3,0,0,0,0,0,,,,,,,,
6846500,11,3,1,2,0,0,7,0,0,0,0,0,,,,,,,,
6848500,10,2,2,0,1,0,14,1,1,0,0,0,,,,,,,,
6853800,12,4,0,1,1,0,10,2,2,0,0,0,,,,,,,,
6854000,10,1,2,1,1,0,3,0,0,0,0,1,,,,,,,,
6856000,14,2,1,1,1,0,10,3,1,0,0,1,,,,,,,,
6857100,11,3,2,0,1,0,9,5,1,0,1,1,,,,,,,,
6860000,12,4,1,0,1,0,10,1,1,0,0,0,,,,,,,,
6861000,7,5,2,1,0,0,9,0,0,0,0,0,,,,,,,,
6862700,8,2,2,0,1,0,11,3,1,0,1,0,,,,,,,,
6863500,11,4,0,0,0,1,6,3,0,0,1,0,,,,,,,,
6864050,7,1,1,1,0,0,11,2,0,0,0,1,,,,,,,,
6865500,8,2,3,1,0,0,11,2,3,0,0,1,,,,,,,,
6866500,12,2,1,0,0,1,5,3,0,1,0,0,,,,,,,,
6867000,13,3,0,1,1,0,9,1,1,0,1,1,,,,,,,,
6871000,8,6,0,0,0,1,8,2,0,1,1,0,,,,,,,,
6872500,9,3,1,2,0,0,5,3,4,0,0,1,,,,,,,,
6873200,15,2,1,0,1,0,6,1,1,0,0,0,,,,,,,,
6874000,12,1,2,0,1,0,9,3,2,0,0,1,,,,,,,,
6876700,11,1,3,2,0,0,16,2,1,0,0,0,,,,,,,,
6879100,11,2,0,0,0,1,8,3,1,0,0,1,,,,,,,,
6884400,12,2,2,0,0,1,12,3,1,1,0,1,,,,,,,,
6887500,14,2,0,0,2,0,6,1,2,0,0,1,,,,,,,,
6888000,6,4,1,1,0,0,4,1,0,0,0,0,,,,,,,,
6890900,5,2,3,0,0,0,9,4,4,2,0,0,,,,,,,,
6892000,9,3,2,1,0,0,6,3,1,0,1,2,,,,,,,,
6892350,6,2,0,0,1,0,7,3,3,0,0,1,,,,,,,,
6893300,7,2,2,0,1,0,14,0,3,0,0,1,,,,,,,,
6910800,8,3,1,0,1,0,11,4,0,0,0,0,,,,,,,,
7138000,7,13,0,0,0,1,8,2,0,0,0,0,,,,,,,,
7142300,13,6,0,0,0,1,7,2,1,0,0,0,,,,,,,,
7143300,18,2,2,0,1,0,17,4,2,0,1,0,,,,,,,,
7144550,6,0,4,0,0,0,8,6,1,2,0,0,,,,,,,,
7144795,9,2,3,0,0,0,9,1,0,0,0,0,,,,,,,,
Average,9.89,2.89,1.28,0.50,0.47,0.19,8.56,2.08,1.11,0.22,0.19,0.44,,,,,,,,
