Station_ID,1960-1990,,,,,,1991-2020,,,,,
,"Count 2-5, P1","Count 5-10, P1","Count 10-25, P1","Count 25-50, P1","Count 500-100, P1","Count >100, P1","Count 2-5, P2","Count 5-10, P2","Count 10-25, P2","Count 25-50, P2","Count 500-100, P2","Count >100, P2"
5474500,11,3,1,1,1,0,12,2,0,1,1,4
5495000,6,7,0,0,0,1,14,3,2,0,0,1
5495500,8,6,1,0,1,0,8,4,1,1,0,2
5496000,8,4,1,0,1,0,7,5,3,0,0,0
5500000,10,2,3,1,0,0,11,2,4,0,0,1
5501000,10,4,1,0,0,1,11,6,1,0,0,0
5502000,11,2,2,0,1,0,13,1,0,0,0,0
5502020,12,2,2,2,0,0,3,4,1,0,0,0
5508000,13,1,1,1,1,0,1,1,0,0,0,0
5512500,8,4,4,0,0,0,6,0,3,0,0,0
5514500,12,2,1,2,0,0,11,3,3,0,1,1
5570000,8,5,1,0,1,0,5,3,2,0,1,1
5584500,11,3,2,0,1,0,8,3,0,1,0,0
5586100,8,4,3,1,0,0,11,5,3,0,0,0
5587000,11,3,1,2,0,0,6,4,1,1,1,2
6820500,9,5,1,0,1,0,17,0,1,1,0,1
6893000,10,5,1,0,1,0,7,3,0,1,1,1
6893500,12,1,1,1,1,0,13,5,1,0,0,1
6894000,16,3,1,0,0,1,19,4,0,0,0,0
6895000,6,2,0,1,0,0,6,1,0,0,0,0
6895500,11,2,4,0,0,0,7,2,2,1,2,2
6896400,5,0,1,1,0,0,0,0,0,0,0,10
6897500,6,4,3,0,1,0,11,8,0,0,1,3
6899500,9,2,3,1,0,0,6,2,2,1,1,6
6901500,6,3,1,1,0,0,4,2,4,1,2,2
6902000,12,2,2,0,1,0,11,5,1,1,0,2
6904500,9,5,1,1,0,0,4,4,3,4,1,6
6905500,7,4,4,0,0,0,8,1,2,5,2,2
6907700,3,3,1,0,0,0,1,0,0,0,0,0
6908000,8,2,3,1,0,0,19,2,0,0,0,0
6909000,9,2,4,0,0,0,9,3,0,1,3,1
6918460,7,3,2,1,0,0,7,5,0,2,0,2
6919500,10,4,2,0,1,0,8,2,3,1,1,0
6921200,13,2,0,0,2,0,11,2,5,2,0,0
6921350,10,2,3,0,0,1,13,0,0,0,0,0
6921590,4,1,1,1,0,0,4,1,0,0,0,2
6926000,12,4,0,1,1,0,7,2,2,0,0,0
6927000,8,3,1,0,1,0,4,3,3,1,1,1
6928000,9,1,1,0,1,0,3,5,3,0,2,1
6930000,11,2,0,0,0,1,6,5,1,0,1,2
6932000,15,2,0,0,2,0,12,4,4,4,0,0
6933500,10,2,1,0,0,1,10,2,1,0,2,3
6934500,11,4,0,1,1,0,10,1,3,1,0,2
7010350,6,1,1,1,0,0,6,3,1,0,0,0
7013000,11,3,1,2,0,0,13,1,1,2,1,1
7014500,8,1,4,0,1,0,14,0,2,2,0,1
7015720,11,1,2,0,0,1,10,6,2,1,0,0
7016500,13,4,0,0,0,1,13,4,3,2,0,1
7018100,10,5,0,1,1,0,13,2,0,0,2,3
7018500,8,3,1,2,0,0,12,3,0,1,2,2
7019000,11,4,1,0,0,1,14,4,1,0,2,2
7037500,15,0,1,0,0,1,6,2,4,0,0,2
7039500,8,8,0,0,0,0,3,1,0,0,0,2
7050700,12,1,3,0,1,0,6,1,3,1,0,5
7052500,8,3,4,0,0,0,8,3,0,1,0,5
7057500,11,3,1,1,1,0,8,2,6,0,0,1
7058000,9,4,0,0,0,1,8,4,2,2,0,1
7061500,12,4,0,0,0,1,7,1,2,1,0,1
7063000,13,4,0,0,0,1,20,1,2,1,0,0
7066000,10,1,4,1,0,0,7,4,1,1,0,1
7067000,8,1,5,0,0,0,5,3,2,0,0,1
7068000,13,2,2,0,1,0,13,1,4,1,0,1
7071000,13,3,1,0,0,1,13,5,2,2,1,1
7071500,11,1,2,0,0,1,6,3,4,1,0,2
7186000,8,2,2,2,0,0,6,3,4,1,1,1
7187000,8,3,2,1,0,0,11,1,1,3,2,2
7189000,11,3,2,1,0,0,10,3,0,1,2,4
Average,9.746268657,2.865671642,1.567164179,0.492537313,0.388059701,0.223880597,8.895522388,2.701492537,1.671641791,0.820895522,0.552238806,1.52238806
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,9.746268657,2.865671642,1.567164179,0.492537313,0.388059701,0.223880597,8.895522388,2.701492537,1.671641791,0.820895522,0.552238806,1.52238806
